year_month,total_road_traffic_accidents
2018-07,1397
2018-08,1419
2018-09,1271
2018-10,1439
2018-11,1375
2018-12,1304
2019-01,1394
2019-02,1143
2019-03,1365
2019-04,1245
2019-05,1416
2019-06,1367
2019-07,1359
2019-08,1314
2019-09,1329
2019-10,1364
2019-11,1367
2019-12,1439
2020-01,1387
2020-02,946
2020-03,1202
2020-04,1026
2020-05,1299
2020-06,1453
2020-07,1300
2020-08,1158
2020-09,1346
2020-10,1503
2020-11,1395
2020-12,1283
2021-01,1365
2021-02,1347
2021-03,1437
2021-04,1471
2021-05,1584
2021-06,1481
2021-07,1497
2021-08,1496
2021-09,1522
2021-10,1489
2021-11,1591
2021-12,1551
2022-01,1448
2022-02,833
2022-03,847
2022-04,1060
2022-05,1423
2022-06,1461
2022-07,1343
2022-08,1385
2022-09,1302
2022-10,1438
2022-11,1279
2022-12,1288
2023-01,1378
2023-02,1358
2023-03,1546
2023-04,1316
2023-05,1453
2023-06,1450
2023-07,1521
2023-08,1396
2023-09,1494
2023-10,1430
2023-11,1529
2023-12,1318
2024-01,1615
2024-02,1341
2024-03,1508
2024-04,1539
2024-05,1581
2024-06,1478
2024-07,1487
2024-08,1409
2024-09,1326
