year_month,composite_consumer_price_index,year_on_year_percent_change,consumer_price_index_a,year_on_year_percent_change_a,consumer_price_index_b,year_on_year_percent_change_b,consumer_price_index_c,year_on_year_percent_change_c
2018-07,96.9,2.4,97.1,2.5,96.7,2.3,96.9,2.3
2018-08,97.0,2.3,97.2,2.5,96.8,2.2,96.8,2.0
2018-09,97.2,2.7,97.9,3.3,96.8,2.5,96.8,2.4
2018-10,97.4,2.7,98.1,3.2,97.0,2.5,97.0,2.3
2018-11,97.6,2.6,98.1,3.0,97.2,2.4,97.4,2.3
2018-12,97.9,2.5,98.4,3.0,97.6,2.4,97.8,2.2
2019-01,97.8,2.4,98.3,2.8,97.5,2.3,97.5,2.3
2019-02,98.7,2.1,99.4,2.6,98.3,1.9,98.4,1.8
2019-03,98.4,2.1,99.1,2.4,98.1,1.9,98.0,1.9
2019-04,99.1,2.9,99.5,3.0,98.8,2.8,99.0,3.0
2019-05,99.0,2.8,99.6,3.1,98.7,2.6,98.7,2.7
2019-06,99.7,3.3,100.7,3.9,99.3,3.0,99.1,2.9
2019-07,100.1,3.3,101.0,3.9,99.7,3.1,99.7,2.8
2019-08,100.3,3.5,101.2,4.1,99.9,3.2,99.8,3.0
2019-09,100.3,3.2,101.3,3.5,99.8,3.1,99.7,3.0
2019-10,100.6,3.1,101.8,3.5,100.1,3.1,99.9,2.9
2019-11,100.7,3.0,101.8,3.5,100.2,2.9,99.9,2.5
2019-12,100.7,2.9,101.9,3.4,100.2,2.9,100.0,2.5
2020-01,98.5,1.4,95.6,-2.0,99.7,2.8,100.3,3.4
2020-02,101.0,2.2,101.9,2.7,100.6,2.1,100.3,1.8
2020-03,100.9,2.3,101.8,2.5,100.6,2.3,100.3,2.1
2020-04,101.0,1.9,101.8,2.3,100.6,1.9,100.4,1.5
2020-05,100.7,1.5,101.5,1.7,100.3,1.5,100.2,1.2
2020-06,100.6,0.7,101.4,0.6,100.3,0.8,100.0,0.7
2020-07,97.7,-2.3,94.8,-6.0,98.9,-0.7,99.5,-0.1
2020-08,99.9,-0.4,100.7,-0.6,99.5,-0.4,99.4,-0.1
2020-09,97.8,-2.2,94.9,-5.9,99.0,-0.7,99.7,0.0
2020-10,100.2,-0.4,101.3,-0.5,99.7,-0.4,99.7,-0.1
2020-11,100.3,-0.3,101.4,-0.4,99.7,-0.4,99.8,-0.1
2020-12,99.8,-1.0,100.6,-1.3,99.2,-1.0,99.5,-0.6
2021-01,101.1,2.6,102.8,7.5,100.3,0.6,100.2,-0.2
2021-02,101.4,0.5,103.3,1.3,100.7,0.1,100.3,0.0
2021-03,101.5,0.6,103.2,1.5,100.7,0.2,100.5,0.1
2021-04,101.8,0.8,103.5,1.6,101.0,0.3,100.8,0.4
2021-05,101.6,1.0,103.4,1.9,100.8,0.5,100.6,0.5
2021-06,101.3,0.7,102.8,1.3,100.6,0.3,100.5,0.5
2021-07,101.4,3.7,102.8,8.4,100.6,1.7,100.7,1.1
2021-08,101.5,1.6,102.9,2.2,100.7,1.3,100.8,1.4
2021-09,99.2,1.4,96.4,1.6,100.2,1.2,101.0,1.3
2021-10,102.0,1.7,103.4,2.1,101.3,1.6,101.3,1.5
2021-11,102.2,1.8,103.7,2.2,101.4,1.7,101.3,1.5
2021-12,102.2,2.4,103.7,3.0,101.4,2.2,101.4,2.0
