Year,Month,Day,Value,Data Completeness
2018,7,1,4.1,C
2018,7,2,2.1,C
2018,7,3,15.4,C
2018,7,4,3.4,C
2018,7,5,1.5,C
2018,7,6,5.0,C
2018,7,7,5.2,C
2018,7,8,14.4,C
2018,7,9,11.3,C
2018,7,10,1.3,C
2018,7,11,0.0,C
2018,7,12,Trace,C
2018,7,13,50.4,C
2018,7,14,52.7,C
2018,7,15,67.4,C
2018,7,16,5.8,C
2018,7,17,6.5,C
2018,7,18,29.6,C
2018,7,19,17.3,C
2018,7,20,7.1,C
2018,7,21,0.0,C
2018,7,22,Trace,C
2018,7,23,30.8,C
2018,7,24,0.1,C
2018,7,25,2.7,C
2018,7,26,3.4,C
2018,7,27,0.3,C
2018,7,28,0.0,C
2018,7,29,0.0,C
2018,7,30,0.0,C
2018,7,31,3.3,C
2018,8,1,2.7,C
2018,8,2,6.1,C
2018,8,3,Trace,C
2018,8,4,5.0,C
2018,8,5,0.5,C
2018,8,6,0.0,C
2018,8,7,0.0,C
2018,8,8,0.5,C
2018,8,9,Trace,C
2018,8,10,47.9,C
2018,8,11,51.9,C
2018,8,12,18.9,C
2018,8,13,0.1,C
2018,8,14,32.9,C
2018,8,15,2.2,C
2018,8,16,3.2,C
2018,8,17,36.1,C
2018,8,18,21.8,C
2018,8,19,31.2,C
2018,8,20,61.1,C
2018,8,21,25.7,C
2018,8,22,26.4,C
2018,8,23,24.9,C
2018,8,24,0.1,C
2018,8,25,0.0,C
2018,8,26,80.2,C
2018,8,27,27.3,C
2018,8,28,71.6,C
2018,8,29,23.3,C
2018,8,30,6.3,C
2018,8,31,7.2,C
2018,9,1,32.0,C
2018,9,2,9.8,C
2018,9,3,0.3,C
2018,9,4,0.0,C
2018,9,5,0.1,C
2018,9,6,0.0,C
2018,9,7,Trace,C
2018,9,8,24.6,C
2018,9,9,16.7,C
2018,9,10,0.2,C
2018,9,11,0.0,C
2018,9,12,Trace,C
2018,9,13,2.5,C
2018,9,14,0.0,C
2018,9,15,Trace,C
2018,9,16,167.5,C
2018,9,17,12.0,C
2018,9,18,1.2,C
2018,9,19,0.0,C
2018,9,20,0.0,C
2018,9,21,0.0,C
2018,9,22,0.0,C
2018,9,23,Trace,C
2018,9,24,72.2,C
2018,9,25,34.5,C
2018,9,26,9.7,C
2018,9,27,Trace,C
2018,9,28,0.0,C
2018,9,29,0.0,C
2018,9,30,0.0,C
2018,10,1,2.9,C
2018,10,2,0.0,C
2018,10,3,0.0,C
2018,10,4,0.0,C
2018,10,5,0.0,C
2018,10,6,0.0,C
2018,10,7,0.0,C
2018,10,8,2.0,C
2018,10,9,0.6,C
2018,10,10,42.8,C
2018,10,11,0.0,C
2018,10,12,0.3,C
2018,10,13,0.4,C
2018,10,14,0.6,C
2018,10,15,31.4,C
2018,10,16,8.9,C
2018,10,17,1.5,C
2018,10,18,12.6,C
2018,10,19,0.2,C
2018,10,20,Trace,C
2018,10,21,Trace,C
2018,10,22,Trace,C
2018,10,23,0.1,C
2018,10,24,Trace,C
2018,10,25,0.0,C
2018,10,26,0.0,C
2018,10,27,0.0,C
2018,10,28,0.0,C
2018,10,29,0.0,C
2018,10,30,0.0,C
2018,10,31,0.0,C
2018,11,1,0.0,C
2018,11,2,0.1,C
2018,11,3,8.3,C
2018,11,4,Trace,C
2018,11,5,Trace,C
2018,11,6,0.0,C
2018,11,7,0.0,C
2018,11,8,Trace,C
2018,11,9,0.0,C
2018,11,10,Trace,C
2018,11,11,0.0,C
2018,11,12,Trace,C
2018,11,13,Trace,C
2018,11,14,Trace,C
2018,11,15,Trace,C
2018,11,16,1.1,C
2018,11,17,0.5,C
2018,11,18,0.0,C
2018,11,19,0.0,C
2018,11,20,0.1,C
2018,11,21,2.4,C
2018,11,22,0.2,C
2018,11,23,Trace,C
2018,11,24,Trace,C
2018,11,25,21.0,C
2018,11,26,15.7,C
2018,11,27,16.3,C
2018,11,28,7.7,C
2018,11,29,Trace,C
2018,11,30,0.0,C
2018,12,1,0.0,C
2018,12,2,0.0,C
2018,12,3,0.0,C
2018,12,4,0.0,C
2018,12,5,Trace,C
2018,12,6,0.1,C
2018,12,7,1.0,C
2018,12,8,0.0,C
2018,12,9,Trace,C
2018,12,10,0.2,C
2018,12,11,Trace,C
2018,12,12,0.0,C
2018,12,13,0.0,C
2018,12,14,0.0,C
2018,12,15,0.0,C
2018,12,16,Trace,C
2018,12,17,0.0,C
2018,12,18,0.0,C
2018,12,19,0.0,C
2018,12,20,0.0,C
2018,12,21,0.0,C
2018,12,22,0.0,C
2018,12,23,10.5,C
2018,12,24,0.1,C
2018,12,25,0.0,C
2018,12,26,0.0,C
2018,12,27,Trace,C
2018,12,28,Trace,C
2018,12,29,Trace,C
2018,12,30,Trace,C
2018,12,31,0.0,C
2019,1,1,Trace,C
2019,1,2,Trace,C
2019,1,3,0.1,C
2019,1,4,0.1,C
2019,1,5,0.0,C
2019,1,6,Trace,C
2019,1,7,0.0,C
2019,1,8,0.2,C
2019,1,9,0.0,C
2019,1,10,0.0,C
2019,1,11,0.0,C
2019,1,12,Trace,C
2019,1,13,Trace,C
2019,1,14,Trace,C
2019,1,15,4.0,C
2019,1,16,0.0,C
2019,1,17,0.0,C
2019,1,18,0.0,C
2019,1,19,0.2,C
2019,1,20,0.1,C
2019,1,21,0.0,C
2019,1,22,0.0,C
2019,1,23,0.0,C
2019,1,24,0.0,C
2019,1,25,0.0,C
2019,1,26,0.0,C
2019,1,27,0.0,C
2019,1,28,0.0,C
2019,1,29,0.0,C
2019,1,30,0.0,C
2019,1,31,0.0,C
2019,2,1,0.0,C
2019,2,2,Trace,C
2019,2,3,Trace,C
2019,2,4,0.0,C
2019,2,5,0.0,C
2019,2,6,0.0,C
2019,2,7,Trace,C
2019,2,8,Trace,C
2019,2,9,0.8,C
2019,2,10,0.8,C
2019,2,11,Trace,C
2019,2,12,0.2,C
2019,2,13,0.0,C
2019,2,14,Trace,C
2019,2,15,0.2,C
2019,2,16,0.0,C
2019,2,17,0.1,C
2019,2,18,18.1,C
2019,2,19,31.0,C
2019,2,20,0.2,C
2019,2,21,Trace,C
2019,2,22,1.6,C
2019,2,23,12.3,C
2019,2,24,3.4,C
2019,2,25,Trace,C
2019,2,26,Trace,C
2019,2,27,Trace,C
2019,2,28,0.0,C
2019,3,1,0.4,C
2019,3,2,Trace,C
2019,3,3,6.3,C
2019,3,4,10.2,C
2019,3,5,30.3,C
2019,3,6,45.5,C
2019,3,7,29.6,C
2019,3,8,11.5,C
2019,3,9,14.5,C
2019,3,10,4.6,C
2019,3,11,7.6,C
2019,3,12,0.0,C
2019,3,13,0.0,C
2019,3,14,6.4,C
2019,3,15,0.4,C
2019,3,16,0.0,C
2019,3,17,0.0,C
2019,3,18,0.0,C
2019,3,19,0.0,C
2019,3,20,0.0,C
2019,3,21,0.0,C
2019,3,22,Trace,C
2019,3,23,3.3,C
2019,3,24,0.3,C
2019,3,25,1.0,C
2019,3,26,0.0,C
2019,3,27,Trace,C
2019,3,28,0.0,C
2019,3,29,6.9,C
2019,3,30,Trace,C
2019,3,31,7.7,C
2019,4,1,Trace,C
2019,4,2,Trace,C
2019,4,3,Trace,C
2019,4,4,Trace,C
2019,4,5,0.0,C
2019,4,6,0.0,C
2019,4,7,0.0,C
2019,4,8,0.0,C
2019,4,9,0.0,C
2019,4,10,0.0,C
2019,4,11,0.7,C
2019,4,12,6.1,C
2019,4,13,3.8,C
2019,4,14,10.4,C
2019,4,15,1.1,C
2019,4,16,9.2,C
2019,4,17,0.0,C
2019,4,18,6.7,C
2019,4,19,75.8,C
2019,4,20,43.6,C
2019,4,21,0.3,C
2019,4,22,0.0,C
2019,4,23,0.0,C
2019,4,24,0.0,C
2019,4,25,0.0,C
2019,4,26,0.9,C
2019,4,27,16.6,C
2019,4,28,3.1,C
2019,4,29,0.0,C
2019,4,30,7.5,C
2019,5,1,0.2,C
2019,5,2,0.5,C
2019,5,3,5.3,C
2019,5,4,8.4,C
2019,5,5,8.3,C
2019,5,6,11.3,C
2019,5,7,17.0,C
2019,5,8,25.1,C
2019,5,9,10.0,C
2019,5,10,0.0,C
2019,5,11,0.0,C
2019,5,12,0.0,C
2019,5,13,Trace,C
2019,5,14,0.0,C
2019,5,15,Trace,C
2019,5,16,0.8,C
2019,5,17,0.1,C
2019,5,18,Trace,C
2019,5,19,0.0,C
2019,5,20,9.0,C
2019,5,21,3.3,C
2019,5,22,0.7,C
2019,5,23,6.5,C
2019,5,24,21.5,C
2019,5,25,2.4,C
2019,5,26,15.1,C
2019,5,27,27.8,C
2019,5,28,43.9,C
2019,5,29,3.2,C
2019,5,30,3.2,C
2019,5,31,11.0,C
2019,6,1,32.6,C
2019,6,2,3.0,C
2019,6,3,34.1,C
2019,6,4,38.1,C
2019,6,5,0.0,C
2019,6,6,Trace,C
2019,6,7,0.0,C
2019,6,8,1.1,C
2019,6,9,4.1,C
2019,6,10,3.3,C
2019,6,11,111.6,C
2019,6,12,1.5,C
2019,6,13,55.8,C
2019,6,14,16.5,C
2019,6,15,Trace,C
2019,6,16,0.0,C
2019,6,17,4.7,C
2019,6,18,11.1,C
2019,6,19,14.0,C
2019,6,20,0.5,C
2019,6,21,0.7,C
2019,6,22,0.7,C
2019,6,23,3.2,C
2019,6,24,16.8,C
2019,6,25,35.4,C
2019,6,26,0.9,C
2019,6,27,3.5,C
2019,6,28,2.2,C
2019,6,29,0.6,C
2019,6,30,33.1,C
2019,7,1,15.3,C
2019,7,2,19.1,C
2019,7,3,79.1,C
2019,7,4,13.0,C
2019,7,5,1.3,C
2019,7,6,1.5,C
2019,7,7,4.3,C
2019,7,8,0.1,C
2019,7,9,6.0,C
2019,7,10,14.3,C
2019,7,11,6.0,C
2019,7,12,2.6,C
2019,7,13,Trace,C
2019,7,14,Trace,C
2019,7,15,0.0,C
2019,7,16,0.0,C
2019,7,17,0.0,C
2019,7,18,Trace,C
2019,7,19,22.6,C
2019,7,20,6.4,C
2019,7,21,0.1,C
2019,7,22,0.4,C
2019,7,23,Trace,C
2019,7,24,Trace,C
2019,7,25,1.0,C
2019,7,26,Trace,C
2019,7,27,0.0,C
2019,7,28,0.5,C
2019,7,29,1.0,C
2019,7,30,12.8,C
2019,7,31,121.1,C
2019,8,1,98.3,C
2019,8,2,8.2,C
