year_month,total_in_thousands,no_of_days_in_the_year_month
2018-07,12706.5,31
2018-08,12799.6,31
2018-09,12574.2,30
2018-10,13256.9,31
2018-11,13515.4,30
2018-12,13146.6,31
2019-01,13374.5,31
2019-02,12750.5,28
2019-03,13164.4,31
2019-04,12670.1,30
2019-05,13006.3,31
2019-06,12867.4,30
2019-07,12618.5,31
2019-08,12087.5,31
2019-09,12570.7,30
2019-10,11472.2,31
2019-11,10943.6,30
2019-12,11802.8,31
2020-01,11220.9,31
2020-02,7318.1,29
2020-03,7798.8,31
2020-04,7285.2,30
2020-05,8919.4,31
2020-06,10323.8,30
2020-07,8417.8,31
2020-08,7314.8,31
2020-09,9360.8,30
2020-10,10172.7,31
2020-11,10509.9,30
2020-12,8515.1,31
2021-01,8456.9,31
2021-02,9140.9,28
2021-03,10129.1,31
2021-04,10314.6,30
2021-05,10600.0,31
2021-06,10807.7,30
2021-07,10858.5,31
2021-08,10981.5,31
2021-09,11546.3,30
2021-10,10615.8,31
2021-11,11642.5,30
2021-12,11458.4,31
2022-01,9615.3,31
2022-02,6369.6,28
2022-03,5845.5,31
2022-04,8306.9,30
2022-05,10156.9,31
2022-06,10652.6,30
2022-07,10349.4,31
2022-08,10556.6,31
2022-09,11052.6,30
2022-10,11113.5,31
2022-11,11039.6,30
2022-12,10822.2,31
2023-01,10597.9,31
2023-02,11734.1,28
2023-03,11831.4,31
2023-04,11123.7,30
2023-05,11379.1,31
2023-06,11533.2,30
2023-07,11363.6,31
2023-08,11701.7,31
2023-09,11059.9,30
2023-10,11524.7,31
2023-11,12191.5,30
2023-12,11739.3,31
2024-01,1615.0,31
2024-02,1341.0,29
2024-03,1508.0,31
2024-04,1539.0,30
2024-05,1581.0,31
2024-06,1478.0,30
2024-07,1487.0,31
2024-08,1409.0,31
2024-09,1326.0,30
